,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
90,90,-1850.0,2021-12-14 22:04:47.384504,2021-12-14 22:30:57.776046,0 days 00:26:10.391542,8,0.3,7.260301029134085e-06,0.99,0.9,0.0003913257470783857,0.5,20,512,0.5341449333543578,PRUNED
91,91,130.0,2021-12-14 22:30:57.793000,2021-12-14 23:28:34.627714,0 days 00:57:36.834714,8,0.3,3.307401543733525e-05,0.92,0.9,9.947690525470709e-05,5.0,20,512,0.46052062932873206,COMPLETE
92,92,130.0,2021-12-14 23:28:34.656637,2021-12-15 00:25:43.630871,0 days 00:57:08.974234,8,0.3,0.0001924320927239769,0.92,0.999,6.663715091986175e-05,5.0,20,512,0.3279624489626609,COMPLETE
93,93,-1848.0,2021-12-15 00:25:43.662786,2021-12-15 00:51:47.219609,0 days 00:26:03.556823,8,0.3,3.519391135255469e-05,0.92,0.9999,0.00010819313076357666,5.0,20,512,0.4545176396632563,PRUNED
94,94,-1840.0,2021-12-15 00:51:47.233573,2021-12-15 00:53:35.867002,0 days 00:01:48.633429,8,0.3,0.00020812645754197186,0.98,0.999,0.013355489393461895,5.0,1,64,0.3787931443998712,PRUNED
95,95,-1860.0,2021-12-15 00:53:35.880965,2021-12-15 01:06:52.978899,0 days 00:13:17.097934,16,0.4,1.3874610895340498e-08,0.8,0.95,0.00045444421856051303,0.7,20,16,0.3617161873292588,PRUNED
96,96,-1850.0,2021-12-15 01:06:52.992862,2021-12-15 01:19:51.325989,0 days 00:12:58.333127,16,0.3,2.885666993439968e-06,0.92,0.9,0.0001322328647768827,0.6,20,512,0.5152163424180558,PRUNED
97,97,-1846.0,2021-12-15 01:19:51.339952,2021-12-15 01:45:44.813745,0 days 00:25:53.473793,8,0.2,1.8827395885923345e-05,0.92,0.9,0.00023816923895035277,0.9,20,8,0.31220258741867235,PRUNED
98,98,-1850.0,2021-12-15 01:45:44.826710,2021-12-15 02:09:47.267493,0 days 00:24:02.440783,8,0.3,9.446941565616181e-05,0.92,0.995,0.00022224776202827565,0.8,20,1024,0.4717069414919423,PRUNED
99,99,130.0,2021-12-15 02:09:47.281455,2021-12-15 02:25:48.674936,0 days 00:16:01.393481,32,0.3,0.00044259511035929364,0.8,0.999,0.000633993783048049,0.7,20,256,0.3338015345863361,COMPLETE
